"university_name","university_slug","group","decile","cumulative_percentage"
"The University of Cambridge","the-university-of-cambridge","Enrolment",0,0
"The University of Cambridge","the-university-of-cambridge","Enrolment",1,1
"The University of Cambridge","the-university-of-cambridge","Enrolment",2,3
"The University of Cambridge","the-university-of-cambridge","Enrolment",3,6
"The University of Cambridge","the-university-of-cambridge","Enrolment",4,11
"The University of Cambridge","the-university-of-cambridge","Enrolment",5,17
"The University of Cambridge","the-university-of-cambridge","Enrolment",6,25
"The University of Cambridge","the-university-of-cambridge","Enrolment",7,36
"The University of Cambridge","the-university-of-cambridge","Enrolment",8,45
"The University of Cambridge","the-university-of-cambridge","Enrolment",9,59
"The University of Cambridge","the-university-of-cambridge","Enrolment",10,100
"The University of Cambridge","the-university-of-cambridge","Equal",0,0
"The University of Cambridge","the-university-of-cambridge","Equal",1,10
"The University of Cambridge","the-university-of-cambridge","Equal",2,20
"The University of Cambridge","the-university-of-cambridge","Equal",3,30
"The University of Cambridge","the-university-of-cambridge","Equal",4,40
"The University of Cambridge","the-university-of-cambridge","Equal",5,50
"The University of Cambridge","the-university-of-cambridge","Equal",6,60
"The University of Cambridge","the-university-of-cambridge","Equal",7,70
"The University of Cambridge","the-university-of-cambridge","Equal",8,80
"The University of Cambridge","the-university-of-cambridge","Equal",9,90
"The University of Cambridge","the-university-of-cambridge","Equal",10,100
"The University of Cambridge","the-university-of-cambridge","Required",0,0
"The University of Cambridge","the-university-of-cambridge","Required",1,2
"The University of Cambridge","the-university-of-cambridge","Required",2,5
"The University of Cambridge","the-university-of-cambridge","Required",3,9
"The University of Cambridge","the-university-of-cambridge","Required",4,15
"The University of Cambridge","the-university-of-cambridge","Required",5,23
"The University of Cambridge","the-university-of-cambridge","Required",6,32
"The University of Cambridge","the-university-of-cambridge","Required",7,43
"The University of Cambridge","the-university-of-cambridge","Required",8,56
"The University of Cambridge","the-university-of-cambridge","Required",9,72
"The University of Cambridge","the-university-of-cambridge","Required",10,100
