"university_name","university_slug","group","decile","cumulative_percentage"
"The University of Winchester","the-university-of-winchester","Enrolment",0,0
"The University of Winchester","the-university-of-winchester","Enrolment",1,2
"The University of Winchester","the-university-of-winchester","Enrolment",2,6
"The University of Winchester","the-university-of-winchester","Enrolment",3,12
"The University of Winchester","the-university-of-winchester","Enrolment",4,19
"The University of Winchester","the-university-of-winchester","Enrolment",5,30
"The University of Winchester","the-university-of-winchester","Enrolment",6,43
"The University of Winchester","the-university-of-winchester","Enrolment",7,57
"The University of Winchester","the-university-of-winchester","Enrolment",8,72
"The University of Winchester","the-university-of-winchester","Enrolment",9,89
"The University of Winchester","the-university-of-winchester","Enrolment",10,100
"The University of Winchester","the-university-of-winchester","Equal",0,0
"The University of Winchester","the-university-of-winchester","Equal",1,10
"The University of Winchester","the-university-of-winchester","Equal",2,20
"The University of Winchester","the-university-of-winchester","Equal",3,30
"The University of Winchester","the-university-of-winchester","Equal",4,40
"The University of Winchester","the-university-of-winchester","Equal",5,50
"The University of Winchester","the-university-of-winchester","Equal",6,60
"The University of Winchester","the-university-of-winchester","Equal",7,70
"The University of Winchester","the-university-of-winchester","Equal",8,80
"The University of Winchester","the-university-of-winchester","Equal",9,90
"The University of Winchester","the-university-of-winchester","Equal",10,100
"The University of Winchester","the-university-of-winchester","Required",0,0
"The University of Winchester","the-university-of-winchester","Required",1,4
"The University of Winchester","the-university-of-winchester","Required",2,9
"The University of Winchester","the-university-of-winchester","Required",3,15
"The University of Winchester","the-university-of-winchester","Required",4,23
"The University of Winchester","the-university-of-winchester","Required",5,32
"The University of Winchester","the-university-of-winchester","Required",6,42
"The University of Winchester","the-university-of-winchester","Required",7,53
"The University of Winchester","the-university-of-winchester","Required",8,66
"The University of Winchester","the-university-of-winchester","Required",9,81
"The University of Winchester","the-university-of-winchester","Required",10,100
