"university_name","university_slug","group","decile","cumulative_percentage"
"The University of Leeds","the-university-of-leeds","Enrolment",0,0
"The University of Leeds","the-university-of-leeds","Enrolment",1,2
"The University of Leeds","the-university-of-leeds","Enrolment",2,5
"The University of Leeds","the-university-of-leeds","Enrolment",3,10
"The University of Leeds","the-university-of-leeds","Enrolment",4,17
"The University of Leeds","the-university-of-leeds","Enrolment",5,24
"The University of Leeds","the-university-of-leeds","Enrolment",6,33
"The University of Leeds","the-university-of-leeds","Enrolment",7,45
"The University of Leeds","the-university-of-leeds","Enrolment",8,58
"The University of Leeds","the-university-of-leeds","Enrolment",9,75
"The University of Leeds","the-university-of-leeds","Enrolment",10,100
"The University of Leeds","the-university-of-leeds","Equal",0,0
"The University of Leeds","the-university-of-leeds","Equal",1,10
"The University of Leeds","the-university-of-leeds","Equal",2,20
"The University of Leeds","the-university-of-leeds","Equal",3,30
"The University of Leeds","the-university-of-leeds","Equal",4,40
"The University of Leeds","the-university-of-leeds","Equal",5,50
"The University of Leeds","the-university-of-leeds","Equal",6,60
"The University of Leeds","the-university-of-leeds","Equal",7,70
"The University of Leeds","the-university-of-leeds","Equal",8,80
"The University of Leeds","the-university-of-leeds","Equal",9,90
"The University of Leeds","the-university-of-leeds","Equal",10,100
"The University of Leeds","the-university-of-leeds","Required",0,0
"The University of Leeds","the-university-of-leeds","Required",1,4
"The University of Leeds","the-university-of-leeds","Required",2,9
"The University of Leeds","the-university-of-leeds","Required",3,16
"The University of Leeds","the-university-of-leeds","Required",4,24
"The University of Leeds","the-university-of-leeds","Required",5,33
"The University of Leeds","the-university-of-leeds","Required",6,43
"The University of Leeds","the-university-of-leeds","Required",7,54
"The University of Leeds","the-university-of-leeds","Required",8,66
"The University of Leeds","the-university-of-leeds","Required",9,80
"The University of Leeds","the-university-of-leeds","Required",10,100
