"university_name","university_slug","group","decile","cumulative_percentage"
"York St John University","york-st-john-university","Enrolment",0,0
"York St John University","york-st-john-university","Enrolment",1,4
"York St John University","york-st-john-university","Enrolment",2,9
"York St John University","york-st-john-university","Enrolment",3,16
"York St John University","york-st-john-university","Enrolment",4,25
"York St John University","york-st-john-university","Enrolment",5,35
"York St John University","york-st-john-university","Enrolment",6,48
"York St John University","york-st-john-university","Enrolment",7,61
"York St John University","york-st-john-university","Enrolment",8,77
"York St John University","york-st-john-university","Enrolment",9,93
"York St John University","york-st-john-university","Enrolment",10,100
"York St John University","york-st-john-university","Equal",0,0
"York St John University","york-st-john-university","Equal",1,10
"York St John University","york-st-john-university","Equal",2,20
"York St John University","york-st-john-university","Equal",3,30
"York St John University","york-st-john-university","Equal",4,40
"York St John University","york-st-john-university","Equal",5,50
"York St John University","york-st-john-university","Equal",6,60
"York St John University","york-st-john-university","Equal",7,70
"York St John University","york-st-john-university","Equal",8,80
"York St John University","york-st-john-university","Equal",9,90
"York St John University","york-st-john-university","Equal",10,100
"York St John University","york-st-john-university","Required",0,0
"York St John University","york-st-john-university","Required",1,5
"York St John University","york-st-john-university","Required",2,11
"York St John University","york-st-john-university","Required",3,19
"York St John University","york-st-john-university","Required",4,28
"York St John University","york-st-john-university","Required",5,38
"York St John University","york-st-john-university","Required",6,49
"York St John University","york-st-john-university","Required",7,60
"York St John University","york-st-john-university","Required",8,72
"York St John University","york-st-john-university","Required",9,85
"York St John University","york-st-john-university","Required",10,100
