"university_name","university_slug","group","decile","cumulative_percentage"
"Roehampton University","roehampton-university","Enrolment",0,0
"Roehampton University","roehampton-university","Enrolment",1,16
"Roehampton University","roehampton-university","Enrolment",2,34
"Roehampton University","roehampton-university","Enrolment",3,49
"Roehampton University","roehampton-university","Enrolment",4,61
"Roehampton University","roehampton-university","Enrolment",5,71
"Roehampton University","roehampton-university","Enrolment",6,78
"Roehampton University","roehampton-university","Enrolment",7,83
"Roehampton University","roehampton-university","Enrolment",8,90
"Roehampton University","roehampton-university","Enrolment",9,94
"Roehampton University","roehampton-university","Enrolment",10,100
"Roehampton University","roehampton-university","Equal",0,0
"Roehampton University","roehampton-university","Equal",1,10
"Roehampton University","roehampton-university","Equal",2,20
"Roehampton University","roehampton-university","Equal",3,30
"Roehampton University","roehampton-university","Equal",4,40
"Roehampton University","roehampton-university","Equal",5,50
"Roehampton University","roehampton-university","Equal",6,60
"Roehampton University","roehampton-university","Equal",7,70
"Roehampton University","roehampton-university","Equal",8,80
"Roehampton University","roehampton-university","Equal",9,90
"Roehampton University","roehampton-university","Equal",10,100
"Roehampton University","roehampton-university","Required",0,0
"Roehampton University","roehampton-university","Required",1,7
"Roehampton University","roehampton-university","Required",2,15
"Roehampton University","roehampton-university","Required",3,25
"Roehampton University","roehampton-university","Required",4,37
"Roehampton University","roehampton-university","Required",5,47
"Roehampton University","roehampton-university","Required",6,55
"Roehampton University","roehampton-university","Required",7,63
"Roehampton University","roehampton-university","Required",8,71
"Roehampton University","roehampton-university","Required",9,80
"Roehampton University","roehampton-university","Required",10,100
