"university_name","university_slug","group","decile","cumulative_percentage"
"University for the Creative Arts","university-for-the-creative-arts","Enrolment",0,0
"University for the Creative Arts","university-for-the-creative-arts","Enrolment",1,5
"University for the Creative Arts","university-for-the-creative-arts","Enrolment",2,11
"University for the Creative Arts","university-for-the-creative-arts","Enrolment",3,19
"University for the Creative Arts","university-for-the-creative-arts","Enrolment",4,29
"University for the Creative Arts","university-for-the-creative-arts","Enrolment",5,41
"University for the Creative Arts","university-for-the-creative-arts","Enrolment",6,54
"University for the Creative Arts","university-for-the-creative-arts","Enrolment",7,66
"University for the Creative Arts","university-for-the-creative-arts","Enrolment",8,79
"University for the Creative Arts","university-for-the-creative-arts","Enrolment",9,90
"University for the Creative Arts","university-for-the-creative-arts","Enrolment",10,100
"University for the Creative Arts","university-for-the-creative-arts","Equal",0,0
"University for the Creative Arts","university-for-the-creative-arts","Equal",1,10
"University for the Creative Arts","university-for-the-creative-arts","Equal",2,20
"University for the Creative Arts","university-for-the-creative-arts","Equal",3,30
"University for the Creative Arts","university-for-the-creative-arts","Equal",4,40
"University for the Creative Arts","university-for-the-creative-arts","Equal",5,50
"University for the Creative Arts","university-for-the-creative-arts","Equal",6,60
"University for the Creative Arts","university-for-the-creative-arts","Equal",7,70
"University for the Creative Arts","university-for-the-creative-arts","Equal",8,80
"University for the Creative Arts","university-for-the-creative-arts","Equal",9,90
"University for the Creative Arts","university-for-the-creative-arts","Equal",10,100
"University for the Creative Arts","university-for-the-creative-arts","Required",0,0
"University for the Creative Arts","university-for-the-creative-arts","Required",1,4
"University for the Creative Arts","university-for-the-creative-arts","Required",2,9
"University for the Creative Arts","university-for-the-creative-arts","Required",3,16
"University for the Creative Arts","university-for-the-creative-arts","Required",4,24
"University for the Creative Arts","university-for-the-creative-arts","Required",5,33
"University for the Creative Arts","university-for-the-creative-arts","Required",6,42
"University for the Creative Arts","university-for-the-creative-arts","Required",7,52
"University for the Creative Arts","university-for-the-creative-arts","Required",8,64
"University for the Creative Arts","university-for-the-creative-arts","Required",9,78
"University for the Creative Arts","university-for-the-creative-arts","Required",10,100
