Ind_code,Ind_name,Area_type,Area_code,Area_name,Time_period,SEB,Age,Sex,Category_type,Category,Value,Sample_size,LCI,UCI,SE,Unit,Value_note
DR12,Childhood poverty,NA,NA,United Kingdom,1997,NA,NA,NA,NA,NA,32.966302,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,United Kingdom,1998,NA,NA,NA,NA,NA,33.116271,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,United Kingdom,1999,NA,NA,NA,NA,NA,33.44356076,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,United Kingdom,2000,NA,NA,NA,NA,NA,33.0130964,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,United Kingdom,2001,NA,NA,NA,NA,NA,32.30118835,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,United Kingdom,2002,NA,NA,NA,NA,NA,31.26767497,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,United Kingdom,2003,NA,NA,NA,NA,NA,30.22152296,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,United Kingdom,2004,NA,NA,NA,NA,NA,29.43841428,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,United Kingdom,2005,NA,NA,NA,NA,NA,28.54386335,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,United Kingdom,2006,NA,NA,NA,NA,NA,28.58803935,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,United Kingdom,2007,NA,NA,NA,NA,NA,29.36513537,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,United Kingdom,2008,NA,NA,NA,NA,NA,30.4438163,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,United Kingdom,2009,NA,NA,NA,NA,NA,30.78333139,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,United Kingdom,2010,NA,NA,NA,NA,NA,30.34389759,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,United Kingdom,2011,NA,NA,NA,NA,NA,28.96826621,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,United Kingdom,2012,NA,NA,NA,NA,NA,27.84170296,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,United Kingdom,2013,NA,NA,NA,NA,NA,27.12002136,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,United Kingdom,2014,NA,NA,NA,NA,NA,27.22397346,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,United Kingdom,2015,NA,NA,NA,NA,NA,27.73688002,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,United Kingdom,2016,NA,NA,NA,NA,NA,28.47233497,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,United Kingdom,2017,NA,NA,NA,NA,NA,29.32767867,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,United Kingdom,2018,NA,NA,NA,NA,NA,29.5939484,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,United Kingdom,2019,NA,NA,NA,NA,NA,29.58780691,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,United Kingdom,2020,NA,NA,NA,NA,NA,29.79966885,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,United Kingdom,2021,NA,NA,NA,NA,NA,30.04153917,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,United Kingdom,2022,NA,NA,NA,NA,NA,29.92833097,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,England,1997,NA,NA,NA,NA,NA,32.91966746,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,England,1998,NA,NA,NA,NA,NA,33.01794379,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,England,1999,NA,NA,NA,NA,NA,33.49567814,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,England,2000,NA,NA,NA,NA,NA,33.06510466,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,England,2001,NA,NA,NA,NA,NA,32.23614825,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,England,2002,NA,NA,NA,NA,NA,31.10740034,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,England,2003,NA,NA,NA,NA,NA,30.07800371,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,England,2004,NA,NA,NA,NA,NA,29.48168828,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,England,2005,NA,NA,NA,NA,NA,28.78386147,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,England,2006,NA,NA,NA,NA,NA,28.99207258,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,England,2007,NA,NA,NA,NA,NA,29.92937658,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,England,2008,NA,NA,NA,NA,NA,31.09357748,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,England,2009,NA,NA,NA,NA,NA,31.52842622,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,England,2010,NA,NA,NA,NA,NA,30.89680924,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,England,2011,NA,NA,NA,NA,NA,29.47397784,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,England,2012,NA,NA,NA,NA,NA,28.21623977,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,England,2013,NA,NA,NA,NA,NA,27.54606717,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,England,2014,NA,NA,NA,NA,NA,27.64573595,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,England,2015,NA,NA,NA,NA,NA,28.28491348,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,England,2016,NA,NA,NA,NA,NA,29.02791706,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,England,2017,NA,NA,NA,NA,NA,30.06936367,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,England,2018,NA,NA,NA,NA,NA,30.29471086,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,England,2019,NA,NA,NA,NA,NA,30.35416569,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,England,2020,NA,NA,NA,NA,NA,30.43693989,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,England,2021,NA,NA,NA,NA,NA,30.62500248,NA,NA,NA,NA,NA,NA
DR12,Childhood poverty,NA,NA,England,2022,NA,NA,NA,NA,NA,30.77754893,NA,NA,NA,NA,NA,NA
